조사년월일,측정소이름,측정지역,일일강수량
20210701,강남,강남구,0
20210701,강동,강동구,0
20210701,강북,강북구,0
20210701,강서,강서구,0
20210701,관악,관악구,0
20210701,광진,광진구,0
20210701,구로,구로구,0
20210701,금천,금천구,0
20210701,노원,노원구,0
20210701,도봉,도봉구,0
20210701,동대문,동대문구,0
20210701,마포,마포구,0
20210701,서대문,서대문구,0
20210701,서초,서초구,0
20210701,성동,성동구,0
20210701,성북,성북구,0
20210701,송파,송파구,0
20210701,양천,양천구,0
20210701,영등포,영등포구,0
20210701,용산,용산구,0
20210701,은평,은평구,0
20210701,중구,중구,0
20210702,강남,강남구,0
20210702,강동,강동구,0
20210702,강북,강북구,0
20210702,강서,강서구,0
20210702,관악,관악구,0
20210702,광진,광진구,0
20210702,구로,구로구,0
20210702,금천,금천구,0
20210702,노원,노원구,0
20210702,도봉,도봉구,0
20210702,동대문,동대문구,0
20210702,마포,마포구,0
20210702,서대문,서대문구,0
20210702,서초,서초구,0
20210702,성동,성동구,0
20210702,성북,성북구,0
20210702,송파,송파구,0
20210702,양천,양천구,0
20210702,영등포,영등포구,0
20210702,용산,용산구,0
20210702,은평,은평구,0
20210702,중구,중구,0
20210703,강남,강남구,68
20210703,강동,강동구,58.5
20210703,강북,강북구,63.5
20210703,강서,강서구,52
20210703,관악,관악구,73
20210703,광진,광진구,64
20210703,구로,구로구,60
20210703,금천,금천구,50
20210703,노원,노원구,56
20210703,도봉,도봉구,64
20210703,동대문,동대문구,61.5
20210703,마포,마포구,56
20210703,서대문,서대문구,58.5
20210703,서초,서초구,58
20210703,성동,성동구,65
20210703,성북,성북구,64.5
20210703,송파,송파구,61.5
20210703,양천,양천구,59.5
20210703,영등포,영등포구,51
20210703,용산,용산구,62.5
20210703,은평,은평구,42.5
20210703,중구,중구,44
20210704,강남,강남구,17
20210704,강동,강동구,21.5
20210704,강북,강북구,29
20210704,관악,관악구,19
20210704,광진,광진구,16
20210704,구로,구로구,17.5
20210704,금천,금천구,11.5
20210704,노원,노원구,21
20210704,도봉,도봉구,31
20210704,동대문,동대문구,24.5
20210704,마포,마포구,16.5
20210704,서대문,서대문구,16
20210704,서초,서초구,17.5
20210704,성동,성동구,21
20210704,성북,성북구,25.5
20210704,송파,송파구,18.5
20210704,양천,양천구,16.5
20210704,영등포,영등포구,15.5
20210704,용산,용산구,15
20210704,은평,은평구,7
20210704,중구,중구,15.5
20210705,강남,강남구,0
20210705,강동,강동구,0
20210705,강북,강북구,0
20210705,강서,강서구,0
20210705,관악,관악구,0
20210705,광진,광진구,0
20210705,구로,구로구,0
20210705,금천,금천구,0
20210705,노원,노원구,0
20210705,도봉,도봉구,0
20210705,동대문,동대문구,0
20210705,마포,마포구,0
20210705,서대문,서대문구,0
20210705,서초,서초구,0
20210705,성동,성동구,0
20210705,성북,성북구,0
20210705,송파,송파구,0
20210705,양천,양천구,0
20210705,영등포,영등포구,0
20210705,용산,용산구,0
20210705,은평,은평구,0
20210706,강남,강남구,0
20210706,강동,강동구,0
20210706,강북,강북구,0
20210706,강서,강서구,0
20210706,관악,관악구,0
20210706,광진,광진구,0
20210706,구로,구로구,0
20210706,금천,금천구,0
20210706,노원,노원구,0
20210706,도봉,도봉구,0
20210706,동대문,동대문구,0
20210706,마포,마포구,0
20210706,서대문,서대문구,0
20210706,서초,서초구,0
20210706,성동,성동구,0
20210706,성북,성북구,0
20210706,송파,송파구,0
20210706,양천,양천구,0
20210706,영등포,영등포구,0
20210706,용산,용산구,0
20210706,은평,은평구,0
20210706,중구,중구,0
20210707,강남,강남구,1.5
20210707,강동,강동구,0
20210707,강북,강북구,2.5
20210707,강서,강서구,0.5
20210707,관악,관악구,2.5
20210707,광진,광진구,0
20210707,구로,구로구,0
20210707,금천,금천구,4
20210707,노원,노원구,1
20210707,도봉,도봉구,1.5
20210707,동대문,동대문구,6.5
20210707,마포,마포구,6
20210707,서대문,서대문구,9
20210707,서초,서초구,2.5
20210707,성동,성동구,3.5
20210707,성북,성북구,0.5
20210707,송파,송파구,1
20210707,양천,양천구,1
20210707,영등포,영등포구,5.5
20210707,용산,용산구,7
20210707,은평,은평구,1.5
20210707,중구,중구,4
20210708,강남,강남구,3
20210708,강동,강동구,7.5
20210708,강북,강북구,3.5
20210708,강서,강서구,1
20210708,관악,관악구,1.5
20210708,구로,구로구,1
20210708,금천,금천구,1
20210708,노원,노원구,2.5
20210708,도봉,도봉구,14
20210708,동대문,동대문구,4
20210708,서대문,서대문구,7.5
20210708,서초,서초구,3
20210708,성북,성북구,2.5
20210708,송파,송파구,2.5
20210708,양천,양천구,1
20210708,영등포,영등포구,2.5
20210708,용산,용산구,3.5
20210708,은평,은평구,2.5
20210708,중구,중구,6
20210709,강남,강남구,0
20210709,강동,강동구,0
20210709,강북,강북구,0
20210709,강서,강서구,0
20210709,관악,관악구,0
20210709,광진,광진구,0
20210709,구로,구로구,0
20210709,금천,금천구,0
20210709,노원,노원구,3
20210709,도봉,도봉구,0
20210709,동대문,동대문구,0
20210709,마포,마포구,0
20210709,서대문,서대문구,0
20210709,서초,서초구,0
20210709,성동,성동구,0
20210709,성북,성북구,0.5
20210709,송파,송파구,0
20210709,양천,양천구,0
20210709,영등포,영등포구,0
20210709,용산,용산구,0
20210709,은평,은평구,0
20210709,중구,중구,0
20210710,강남,강남구,12
20210710,강동,강동구,5.5
20210710,강북,강북구,0
20210710,강서,강서구,1.5
20210710,관악,관악구,19.5
20210710,광진,광진구,3.5
20210710,구로,구로구,2
20210710,금천,금천구,10.5
20210710,노원,노원구,0.5
20210710,도봉,도봉구,0.5
20210710,동대문,동대문구,0
20210710,마포,마포구,0.5
20210710,서대문,서대문구,0.5
20210710,서초,서초구,14.5
20210710,성동,성동구,2.5
20210710,성북,성북구,0.5
20210710,송파,송파구,6.5
20210710,양천,양천구,2
20210710,영등포,영등포구,2
20210710,용산,용산구,6
20210710,은평,은평구,0.5
20210710,중구,중구,1.5
20210711,강남,강남구,0
20210711,강동,강동구,3.5
20210711,강북,강북구,5
20210711,강서,강서구,1
20210711,관악,관악구,0.5
20210711,광진,광진구,1
20210711,구로,구로구,0.5
20210711,금천,금천구,1.5
20210711,노원,노원구,11
20210711,도봉,도봉구,4.5
20210711,동대문,동대문구,2.5
20210711,마포,마포구,0
20210711,서대문,서대문구,0.5
20210711,서초,서초구,0.5
20210711,성동,성동구,2
20210711,송파,송파구,0.5
20210711,양천,양천구,0.5
20210711,영등포,영등포구,0
20210711,용산,용산구,0
20210711,은평,은평구,0.5
20210711,중구,중구,1
20210712,강남,강남구,0
20210712,강동,강동구,0
20210712,강북,강북구,0
20210712,강서,강서구,0
20210712,관악,관악구,0
20210712,광진,광진구,0
20210712,구로,구로구,0
20210712,금천,금천구,0
20210712,노원,노원구,0
20210712,도봉,도봉구,0
20210712,동대문,동대문구,0
20210712,마포,마포구,0
20210712,서대문,서대문구,0
20210712,서초,서초구,0
20210712,성동,성동구,0
20210712,성북,성북구,0
20210712,송파,송파구,0
20210712,양천,양천구,0
20210712,영등포,영등포구,0
20210712,용산,용산구,0
20210712,은평,은평구,0
20210712,중구,중구,0
20210713,강남,강남구,0
20210713,강동,강동구,0
20210713,강북,강북구,0
20210713,강서,강서구,0
20210713,관악,관악구,0
20210713,광진,광진구,0
20210713,구로,구로구,0
20210713,금천,금천구,0
20210713,노원,노원구,0
20210713,도봉,도봉구,0
20210713,동대문,동대문구,0
20210713,마포,마포구,0
20210713,서대문,서대문구,0
20210713,서초,서초구,0
20210713,성동,성동구,0
20210713,성북,성북구,0
20210713,송파,송파구,0
20210713,양천,양천구,0
20210713,영등포,영등포구,0
20210713,용산,용산구,0
20210713,은평,은평구,0
20210713,중구,중구,0
20210714,강남,강남구,0
20210714,강동,강동구,0
20210714,강북,강북구,0
20210714,강서,강서구,0
20210714,관악,관악구,0
20210714,광진,광진구,0
20210714,구로,구로구,0
20210714,금천,금천구,0
20210714,노원,노원구,0
20210714,도봉,도봉구,0
20210714,동대문,동대문구,0
20210714,마포,마포구,0
20210714,서대문,서대문구,0
20210714,서초,서초구,0
20210714,성동,성동구,0
20210714,성북,성북구,0
20210714,송파,송파구,0
20210714,양천,양천구,0
20210714,영등포,영등포구,0
20210714,용산,용산구,0
20210714,은평,은평구,0
20210714,중구,중구,0
20210715,강남,강남구,0
20210715,강동,강동구,10
20210715,강북,강북구,0
20210715,강서,강서구,0
20210715,관악,관악구,0
20210715,광진,광진구,1
20210715,구로,구로구,0
20210715,금천,금천구,0
20210715,노원,노원구,17
20210715,도봉,도봉구,0
20210715,동대문,동대문구,13.5
20210715,마포,마포구,0
20210715,서대문,서대문구,0
20210715,서초,서초구,0
20210715,성동,성동구,1.5
20210715,성북,성북구,0
20210715,송파,송파구,0
20210715,양천,양천구,0
20210715,영등포,영등포구,0
20210715,용산,용산구,4.5
